Rank,Name,Industry,Revenue,Profit,Employees,Headquarters[note 1],State-owned
1,Walmart,Retail,"$648,125","$15,511","2,100,000",United States,No
2,Amazon,Retail,"$574,785","$30,425","1,525,000",United States,No
3,State Grid Corporation of China,Electricity,"$545,948","$9,204","1,361,423",China,Yes
4,Saudi Aramco,Oil and gas,"$494,890","$129,699","73,311",Saudi Arabia,Yes
5,China Petrochemical Corporation,Oil and gas,"$429,700","$9,393","513,434",China,Yes
6,China National Petroleum Corporation,Oil and gas,"$421,714","$21,294","1,026,301",China,Yes
7,Vitol,Commodities,"$400,000","$13,000","1,560",Switzerland,No
8,Apple,Information technology,"$383,482","$96,995","161,000",United States,No
9,UnitedHealth Group,Healthcare,"$371,622","$22,381","440,000",United States,No
10,Berkshire Hathaway,Financials,"$364,482","$96,223","396,500",United States,No
11,CVS Health,Healthcare,"$357,776","$8,344","259,500",United States,No
12,Volkswagen Group,Automotive,"$348,408","$17,945","684,025",Germany,No
13,ExxonMobil,Oil and gas,"$344,582","$36,010","61,500",United States,No
14,Shell,Oil and gas,"$323,183","$19,359","103,000",United Kingdom,No
15,China State Construction Engineering,Construction,"$320,431","$4,272","382,894",China,Yes
16,Toyota,Automotive,"$312,018","$34,214","380,793",Japan,No
17,McKesson,Healthcare,"$308,951","$3,002","48,000",United States,No
18,Alphabet,Information technology,"$307,394","$73,795","182,502",United States,No
19,Cencora,Healthcare,"$262,173","$1,745","44,000",United States,No
20,Trafigura,Commodities,"$244,280","$7,393","12,479",Singapore,No
21,Costco,Retail,"$242,290","$6,292","316,000",United States,No
22,JPMorgan Chase,Financials,"$239,425","$49,552","309,926",United States,No
23,Industrial and Commercial Bank of China,Financials,"$222,484","$51,417","419,252",China,Yes
24,TotalEnergies,Oil and gas,"$218,945","$21,384","102,579",France,No
25,Glencore,Commodities,"$217,829","$4,280","83,426",Switzerland,No
26,BP,Oil and gas,"$213,032","$15,239","79,400",United Kingdom,No
27,Microsoft,Information technology,"$211,915","$72,361","221,000",United States,No
28,Cardinal Health,Healthcare,"$205,012",$261,"47,520",United States,No
29,Stellantis,Automotive,"$204,908","$20,103","258,275",Netherlands,No
30,Chevron,Oil and gas,"$200,949","$21,369","45,600",United States,No
31,China Construction Bank,Financials,"$199,826","$46,990","376,871",China,Yes
32,Samsung Electronics,Electronics,"$198,257","$11,082","267,860",South Korea,No
33,Foxconn,Electronics,"$197,876","$4,563","621,393",Taiwan,No
34,Cigna,Healthcare,"$195,265","$5,164","71,413",United States,No
35,Agricultural Bank of China,Financials,"$192,398","$38,049","451,003",China,Yes
36,Schwarz Gruppe,Retail,"$180,576","$16,988","575,000",Germany,No
37,China Railway Engineering Corporation,Construction,"$178,563","$2,152","314,149",China,Yes
38,Cargill,Conglomerate,"$177,000","$17,641","160,000",United States,No
39,Ford Motor Company,Automotive,"$176,191","$4,347","177,000",United States,No
40,Bank of China,Financials,"$172,328","$32,758","306,931",China,Yes
41,Bank of America,Financials,"$171,912","$26,515","212,985",United States,No
42,General Motors,Automotive,"$171,842","$10,127","163,000",United States,Yes
43,Elevance Health,Healthcare,"$171,340","$5,987","104,900",United States,No
44,BMW Group,Automotive,"$168,103","$12,205","154,950",Germany,No
45,Mercedes-Benz Group,Automotive,"$165,638","$15,417","166,056",Germany,No
46,China Railway Construction Corporation,Construction,"$160,847","$1,701","336,433",China,Yes
47,Baowu,Steel,"$157,216","$2,494","258,697",China,Yes
48,Citigroup,Financials,"$156,820","$9,228","237,925",United States,No
49,Centene Corporation,Healthcare,"$153,999","$2,702","67,700",United States,No
50,JD.com,Retail,"$153,999","$3,414","517,124",China,Yes
